dataset,reference,target_horizon,pcc_mse,reference_mse,pcc_mse_gain_percent,pcc_mae_gain_percent
ETTh1,a6,120,0.8956767575194439,0.8851565813024839,-1.188510195730541,-1.819594372393385
ETTh1,a6,121,0.8985037908327481,0.8879274863842105,-1.191122542180345,-1.8249364923495381
ETTh1,a6,122,0.9010595030716209,0.8904314348932172,-1.19358636296103,-1.8143541733653956
ETTh1,a6,123,0.9036163940904586,0.8930823255360612,-1.179518198176699,-1.7958460092528217
ETTh1,a6,124,0.9062620993823775,0.8958989069346459,-1.156736811208936,-1.775951320911795
ETTh1,a6,125,0.9088861576318741,0.8987403864860535,-1.1288878633227029,-1.7545264440171904
ETTh1,a6,126,0.911447369508327,0.9013668823809851,-1.118355613500488,-1.7413980382538385
ETTh1,a6,127,0.9142442863053224,0.903906678120921,-1.143658790738411,-1.7372103023568064
ETTh1,a6,128,0.9174407605314627,0.9066028581000865,-1.1954410174802144,-1.7743681453136428
ETTh1,a6,129,0.9209784376759862,0.9091832808745924,-1.297335427247126,-1.8339473978197463
ETTh1,a6,130,0.9247943131969525,0.9118427418745481,-1.420373352512394,-1.8946701442854597
ETTh1,a6,131,0.9276396242034344,0.9143491114368876,-1.4535490438286613,-1.913951984317963
ETTh1,a6,132,0.9304017114142576,0.916711251392509,-1.4934320922703304,-1.9359700430640725
ETTh1,a6,133,0.9331904413332617,0.9192622931380021,-1.5151440779447523,-1.9424055850550737
ETTh1,a6,134,0.9358261233167862,0.9217500495376871,-1.5271031215196684,-1.9319197154590295
ETTh1,a6,135,0.9382828894588683,0.9243366060433564,-1.5087883920565703,-1.922937072865527
